exp_name,time,record_id,num_srcs,src_ids,doas_est_idx,doas_ref_idx,doas_ref_az,doas_est_az,doas_ref_el,doas_est_el,errors,frame_id,target_doa,n_sources,duration,snr,noise_type,add_reverberation,mc_seed,method_id,loc_method,freq_min,freq_max,sv_method,nObs,seed,sv_normalization
"exp-1_nSrc-1_doas-[57]_type-speech-duration-0.5-snr--30_noise-awgn_reverb-False_mc-1_alpha-1.2_beta-2_eps-1E-3_iter-500_freqs-[200, 4000]_ref_nObs-8_seed-13_norm-True",20250307-155230,s0,1,0,48,57,5.969026041820607,5.026548245743669,1.5707963267948966,1.5707963267948966,0.9424777960769378,nSrc-1_doas-[57]_type-speech-duration-0.5-snr--30_noise-awgn_reverb-False_mc-1,"[1.5707963267948966, 5.969026041820607]",1,0.5,-30,awgn,False,1,"alpha-1.2_beta-2_eps-1E-3_iter-500_freqs-[200, 4000]_ref_nObs-8_seed-13_norm-True",alpha-1.2_beta-2_eps-1E-3_iter-500,200,4000,ref,8,13,True
"exp-1_nSrc-1_doas-[57]_type-speech-duration-0.5-snr--30_noise-awgn_reverb-False_mc-1_alpha-1.2_beta-2_eps-1E-3_iter-500_freqs-[200, 4000]_alg_nObs-8_seed-13_norm-True",20250307-155230,s0,1,0,30,57,5.969026041820607,3.141592653589793,1.5707963267948966,1.5707963267948966,2.8274333882308147,nSrc-1_doas-[57]_type-speech-duration-0.5-snr--30_noise-awgn_reverb-False_mc-1,"[1.5707963267948966, 5.969026041820607]",1,0.5,-30,awgn,False,1,"alpha-1.2_beta-2_eps-1E-3_iter-500_freqs-[200, 4000]_alg_nObs-8_seed-13_norm-True",alpha-1.2_beta-2_eps-1E-3_iter-500,200,4000,alg,8,13,True
"exp-1_nSrc-1_doas-[57]_type-speech-duration-0.5-snr--30_noise-awgn_reverb-False_mc-1_alpha-1.2_beta-2_eps-1E-3_iter-500_freqs-[200, 4000]_gp-steerer_nObs-8_seed-13_norm-True",20250307-155230,s0,1,0,34,57,5.969026041820607,3.560471674068432,1.5707963267948966,1.5707963267948966,2.4085543677521746,nSrc-1_doas-[57]_type-speech-duration-0.5-snr--30_noise-awgn_reverb-False_mc-1,"[1.5707963267948966, 5.969026041820607]",1,0.5,-30,awgn,False,1,"alpha-1.2_beta-2_eps-1E-3_iter-500_freqs-[200, 4000]_gp-steerer_nObs-8_seed-13_norm-True",alpha-1.2_beta-2_eps-1E-3_iter-500,200,4000,gp-steerer,8,13,True
"exp-1_nSrc-1_doas-[57]_type-speech-duration-0.5-snr--30_noise-awgn_reverb-False_mc-1_alpha-1.2_beta-2_eps-1E-3_iter-500_freqs-[200, 4000]_gp-steerer_nObs-8_seed-42_norm-True",20250307-155230,s0,1,0,45,57,5.969026041820607,4.71238898038469,1.5707963267948966,1.5707963267948966,1.2566370614359172,nSrc-1_doas-[57]_type-speech-duration-0.5-snr--30_noise-awgn_reverb-False_mc-1,"[1.5707963267948966, 5.969026041820607]",1,0.5,-30,awgn,False,1,"alpha-1.2_beta-2_eps-1E-3_iter-500_freqs-[200, 4000]_gp-steerer_nObs-8_seed-42_norm-True",alpha-1.2_beta-2_eps-1E-3_iter-500,200,4000,gp-steerer,8,42,True
"exp-1_nSrc-1_doas-[57]_type-speech-duration-0.5-snr--30_noise-awgn_reverb-False_mc-1_alpha-1.2_beta-2_eps-1E-3_iter-500_freqs-[200, 4000]_gp-steerer_nObs-8_seed-666_norm-True",20250307-155230,s0,1,0,43,57,5.969026041820607,4.50294947014537,1.5707963267948966,1.5707963267948966,1.4660765716752373,nSrc-1_doas-[57]_type-speech-duration-0.5-snr--30_noise-awgn_reverb-False_mc-1,"[1.5707963267948966, 5.969026041820607]",1,0.5,-30,awgn,False,1,"alpha-1.2_beta-2_eps-1E-3_iter-500_freqs-[200, 4000]_gp-steerer_nObs-8_seed-666_norm-True",alpha-1.2_beta-2_eps-1E-3_iter-500,200,4000,gp-steerer,8,666,True
"exp-1_nSrc-1_doas-[57]_type-speech-duration-0.5-snr--30_noise-awgn_reverb-False_mc-1_alpha-1.2_beta-2_eps-1E-3_iter-500_freqs-[200, 4000]_gp-steerer_nObs-16_seed-13_norm-True",20250307-155230,s0,1,0,55,57,5.969026041820607,5.759586531581287,1.5707963267948966,1.5707963267948966,0.2094395102393198,nSrc-1_doas-[57]_type-speech-duration-0.5-snr--30_noise-awgn_reverb-False_mc-1,"[1.5707963267948966, 5.969026041820607]",1,0.5,-30,awgn,False,1,"alpha-1.2_beta-2_eps-1E-3_iter-500_freqs-[200, 4000]_gp-steerer_nObs-16_seed-13_norm-True",alpha-1.2_beta-2_eps-1E-3_iter-500,200,4000,gp-steerer,16,13,True
"exp-1_nSrc-1_doas-[57]_type-speech-duration-0.5-snr--30_noise-awgn_reverb-False_mc-1_alpha-1.2_beta-2_eps-1E-3_iter-500_freqs-[200, 4000]_gp-steerer_nObs-16_seed-42_norm-True",20250307-155230,s0,1,0,4,57,5.969026041820607,0.418879020478639,1.5707963267948966,1.5707963267948966,0.7330382858376183,nSrc-1_doas-[57]_type-speech-duration-0.5-snr--30_noise-awgn_reverb-False_mc-1,"[1.5707963267948966, 5.969026041820607]",1,0.5,-30,awgn,False,1,"alpha-1.2_beta-2_eps-1E-3_iter-500_freqs-[200, 4000]_gp-steerer_nObs-16_seed-42_norm-True",alpha-1.2_beta-2_eps-1E-3_iter-500,200,4000,gp-steerer,16,42,True
"exp-1_nSrc-1_doas-[57]_type-speech-duration-0.5-snr--30_noise-awgn_reverb-False_mc-1_alpha-1.2_beta-2_eps-1E-3_iter-500_freqs-[200, 4000]_gp-steerer_nObs-16_seed-666_norm-True",20250307-155230,s0,1,0,3,57,5.969026041820607,0.3141592653589793,1.5707963267948966,1.5707963267948966,0.6283185307179588,nSrc-1_doas-[57]_type-speech-duration-0.5-snr--30_noise-awgn_reverb-False_mc-1,"[1.5707963267948966, 5.969026041820607]",1,0.5,-30,awgn,False,1,"alpha-1.2_beta-2_eps-1E-3_iter-500_freqs-[200, 4000]_gp-steerer_nObs-16_seed-666_norm-True",alpha-1.2_beta-2_eps-1E-3_iter-500,200,4000,gp-steerer,16,666,True
"exp-1_nSrc-1_doas-[57]_type-speech-duration-0.5-snr--30_noise-awgn_reverb-False_mc-1_alpha-1.2_beta-2_eps-1E-3_iter-500_freqs-[200, 4000]_gp-steerer_nObs-32_seed-13_norm-True",20250307-155230,s0,1,0,55,57,5.969026041820607,5.759586531581287,1.5707963267948966,1.5707963267948966,0.2094395102393198,nSrc-1_doas-[57]_type-speech-duration-0.5-snr--30_noise-awgn_reverb-False_mc-1,"[1.5707963267948966, 5.969026041820607]",1,0.5,-30,awgn,False,1,"alpha-1.2_beta-2_eps-1E-3_iter-500_freqs-[200, 4000]_gp-steerer_nObs-32_seed-13_norm-True",alpha-1.2_beta-2_eps-1E-3_iter-500,200,4000,gp-steerer,32,13,True
"exp-1_nSrc-1_doas-[57]_type-speech-duration-0.5-snr--30_noise-awgn_reverb-False_mc-1_alpha-1.2_beta-2_eps-1E-3_iter-500_freqs-[200, 4000]_gp-steerer_nObs-32_seed-42_norm-True",20250307-155230,s0,1,0,5,57,5.969026041820607,0.5235987755982988,1.5707963267948966,1.5707963267948966,0.8377580409572787,nSrc-1_doas-[57]_type-speech-duration-0.5-snr--30_noise-awgn_reverb-False_mc-1,"[1.5707963267948966, 5.969026041820607]",1,0.5,-30,awgn,False,1,"alpha-1.2_beta-2_eps-1E-3_iter-500_freqs-[200, 4000]_gp-steerer_nObs-32_seed-42_norm-True",alpha-1.2_beta-2_eps-1E-3_iter-500,200,4000,gp-steerer,32,42,True
